Frame,Time_Seconds,Volumen_RMS,Pitch_F0,Centroide_Espectral,Formante_F1,Formante_F2,Formante_F3,Jitter_Global,Shimmer_Global,HNR_Global,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
26,0.43333333333333335,0.00059803406,0.0,6664.812812541813,675.1953836044614,1882.173523641657,3052.874973214787,0.027200295261307256,0.09461126666333049,5.728714788228517,-537.42377,32.81877,27.427038,21.315994,16.172333,12.152363,8.865551,6.3899155,4.983384,4.2226825,3.108519,1.1914986,-0.79242015
27,0.45,0.0007392909,0.0,7344.827159275403,779.6449587292501,2120.401790309974,3029.221075697553,0.027200295261307256,0.09461126666333049,5.728714788228517,-537.88696,31.881983,25.55417,17.908348,11.305792,6.9744143,5.0917797,5.17434,6.1814814,6.686757,5.61115,3.0791059,0.39486077
28,0.4666666666666667,0.0011809771,0.0,7239.609136130096,816.0397249442367,2252.0161620917725,2688.3512577341203,0.027200295261307256,0.09461126666333049,5.728714788228517,-535.62164,35.592125,30.679834,24.90789,19.772358,15.644871,12.447529,10.149859,8.492928,6.8521957,4.873716,3.0129468,1.9706643
29,0.48333333333333334,0.002272388,0.0,6620.9409142464465,715.0871784800881,2083.0187335813816,2989.2698922375184,0.027200295261307256,0.09461126666333049,5.728714788228517,-528.434,42.537666,33.062355,25.192211,21.856766,17.660479,12.251291,7.854874,7.533038,7.901829,5.624133,1.251558,-2.0482411
30,0.5,0.0033189368,0.0,5864.125530910774,224.18583177956387,1936.7898591914518,2595.7136514499916,0.027200295261307256,0.09461126666333049,5.728714788228517,-520.60443,45.82995,26.25808,22.518866,30.047089,24.532347,7.616583,-0.98957145,6.2431793,11.491503,4.900314,-3.523561,-2.4383616
31,0.5166666666666667,0.0038702725,0.0,4911.953528377577,246.77495295663147,1875.7740530420858,2623.18491501225,0.027200295261307256,0.09461126666333049,5.728714788228517,-500.22388,62.619396,23.198923,15.49082,29.87782,24.344933,0.46090758,-8.553714,4.6117907,11.422298,0.40012872,-10.207289,-7.449431
32,0.5333333333333333,0.0038216442,0.0,5210.828270935741,263.92631859281465,1730.5364771141467,2720.6705585709446,0.027200295261307256,0.09461126666333049,5.728714788228517,-515.11163,60.312466,47.92133,32.019,20.933279,12.754839,9.232009,6.1748157,5.083772,3.2910001,1.8770165,-0.12577054,-1.1213591
33,0.55,0.0037560787,0.0,4601.729238941706,245.25633586378328,1836.8458057405967,2860.0152766478623,0.027200295261307256,0.09461126666333049,5.728714788228517,-519.4589,55.51273,45.8544,33.456093,24.168476,15.886822,10.308128,5.533263,3.7016907,2.362255,1.0360106,-1.5917273,-3.5715866
34,0.5666666666666667,0.0036861117,0.0,4642.1293461709065,239.0210801771375,1703.5087651356473,2769.3424835606274,0.027200295261307256,0.09461126666333049,5.728714788228517,-520.4312,55.452282,46.049374,34.131874,23.144287,15.284334,10.926178,8.913412,7.619604,5.9977,3.7845426,1.1298432,-1.62303
35,0.5833333333333334,0.0037953202,0.0,5173.315181675091,233.78900739822024,1631.3172689310588,2665.107134299616,0.027200295261307256,0.09461126666333049,5.728714788228517,-517.46326,56.7725,42.945206,28.65036,19.776463,14.242023,10.868128,7.8949413,6.1431046,4.2167854,2.151683,-0.27240086,-2.6796482
36,0.6,0.0038123138,0.0,5310.782741626323,233.81986266066804,1800.4141639365776,2909.7594797625666,0.027200295261307256,0.09461126666333049,5.728714788228517,-522.69244,51.64968,43.64219,32.1483,23.011528,14.749617,10.028549,6.05756,4.205468,1.8639147,0.05172643,-2.0546393,-3.2468529
