Frame,Time_Seconds,Volumen_RMS,Pitch_F0,Centroide_Espectral,Formante_F1,Formante_F2,Formante_F3,Jitter_Global,Shimmer_Global,HNR_Global,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
17,0.2833333333333333,0.00033759302,0.0,10273.740783327929,1197.4062947272494,2226.7050445872187,3319.0451987067954,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.8009,5.490094,5.361066,5.1507406,4.865985,4.515949,4.1116414,3.6654358,3.1905203,2.7003174,2.2079115,1.7255344,1.2641127
18,0.3,0.00031987618,0.0,9944.894146342076,891.3772825725101,2083.769675143661,2958.7464629038095,0.01857034474584411,0.0727455930723943,13.751228996802553,-524.8834,8.020065,7.3922024,6.4893856,5.477731,4.511508,3.6933713,3.0587819,2.5873318,2.2318668,1.9498134,1.7214121,1.548187
19,0.31666666666666665,0.000337022,0.0,10641.909179336264,1200.977200461767,2184.057640259174,3408.4891930485587,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.0864,5.0718946,4.900291,4.620778,4.242803,3.7790523,3.2449465,2.6580095,2.0371697,1.4020269,0.77208316,0.16600908,-0.3990499
20,0.3333333333333333,0.00031206047,0.0,9853.556418268867,981.1362259684578,2261.5129339431414,3441.2540012122627,0.01857034474584411,0.0727455930723943,13.751228996802553,-525.4855,7.305311,7.0469227,6.6394367,6.114226,5.509059,4.8631372,4.2122726,3.5848734,2.9994254,2.4636497,1.9755622,1.5259411
21,0.35,0.00031338015,0.0,10727.027059143527,744.1049579093254,1918.1511396135816,2700.029617672973,0.01857034474584411,0.0727455930723943,13.751228996802553,-529.53937,1.6093459,1.463287,1.2452514,0.98740643,0.72439903,0.48612222,0.29195818,0.14784563,0.046732962,-0.02781269,-0.09597653,-0.17553502
22,0.36666666666666664,0.0003414997,0.0,10618.952760514363,821.3945091254911,1878.1027811652152,2920.534884993228,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.38074,4.693039,4.6320124,4.531604,4.393715,4.220957,4.0165124,3.7841094,3.5278654,3.2522078,2.9617147,2.6610265,2.3547015
23,0.38333333333333336,0.00036227892,0.0,10342.148309068134,1356.4169039612366,2548.0731682367186,3473.8217091017696,0.01857034474584411,0.0727455930723943,13.751228996802553,-525.1204,7.730497,7.579814,7.094606,6.6563063,5.952215,5.323341,4.527316,3.8325148,3.0800774,2.4395347,1.8430551,1.3448687
24,0.4,0.00036075173,0.0,10656.411747202277,826.6367046072364,1770.579551722206,2588.0980990015255,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.3574,4.616293,4.541157,4.238318,4.0228534,3.660193,3.419456,3.118611,2.939916,2.7595599,2.65157,2.5642645,2.465527
25,0.4166666666666667,0.00032189736,0.0,11141.00304919825,877.9954445329981,1688.3570569416715,2669.411295934406,0.01857034474584411,0.0727455930723943,13.751228996802553,-528.95325,2.1659474,2.4259377,2.0648487,2.250757,1.8913054,2.0048432,1.6883571,1.7343777,1.4926219,1.4709287,1.3181819,1.2209297
26,0.43333333333333335,0.00031496407,0.0,11052.546171771115,756.9323405433818,1909.0796727452414,2789.7186800740806,0.01857034474584411,0.0727455930723943,13.751228996802553,-528.74384,2.6939788,2.4322357,2.040173,1.5757773,1.1053551,0.6919231,0.38453132,0.21023017,0.1702879,0.24115324,0.37996605,0.53342307
27,0.45,0.00033696042,0.0,10966.254303728676,822.4674155456381,1947.7905068617738,3289.6755854883363,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.16235,4.46389,4.718857,3.9220846,3.8916755,2.9930964,2.7599885,1.9284613,1.5996699,0.98558545,0.6486752,0.34114027,0.035228677
28,0.4666666666666667,0.00036497135,0.0,11464.108607909795,925.4940524838112,2035.1259853855772,3358.1780865263886,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.83386,2.589369,3.941049,2.463216,3.5656376,2.2362795,2.9991667,1.9486375,2.3113604,1.639036,1.5705036,1.331224,0.83010453
29,0.48333333333333334,0.00034855408,0.0,11322.99374083705,847.752968524662,2181.1887638899643,3193.8588109775324,0.01857034474584411,0.0727455930723943,13.751228996802553,-527.3532,4.1794777,4.1317687,3.0500064,2.5656807,1.3395351,0.7864743,-0.14376965,-0.41908455,-0.7526629,-0.61131585,-0.3264718,0.09558246
30,0.5,0.00033213073,0.0,10863.915302180112,782.7053879614759,1728.9425559177837,2873.9057719636457,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.9676,5.251815,5.1154613,4.893218,4.59239,4.222816,3.796465,3.3269982,2.8292332,2.3185737,1.810457,1.3197532,0.86023057
31,0.5166666666666667,0.00031866107,0.0,10424.323227996516,558.1371574039803,1694.6297509881326,2589.9418905417924,0.01857034474584411,0.0727455930723943,13.751228996802553,-526.4516,5.972472,5.811222,5.5547676,5.219853,4.826823,4.3970766,3.9505572,3.503631,3.0675921,2.6482291,2.246119,1.8579376
32,0.5333333333333333,0.00030322457,0.0,10889.73979630816,912.0485927812985,2102.6458549028744,2336.8353381641377,0.01857034474584411,0.0727455930723943,13.751228996802553,-529.69135,1.2821138,1.2773085,0.97386825,0.8493582,0.50149536,0.3544054,0.078156754,0.0003183484,-0.12372352,-0.09469223,-0.058149785,0.043096215
33,0.55,0.00029890196,0.0,10372.4730860739,784.9399525908448,2027.6819597275223,3015.128563230126,0.01857034474584411,0.0727455930723943,13.751228996802553,-529.2296,2.0845728,2.0427775,1.9764407,1.890082,1.7892208,1.6796573,1.5668406,1.4552597,1.3480542,1.2468367,1.1517415,1.0616844
34,0.5666666666666667,0.0003204085,0.0,10506.768122452202,938.0541883630159,1975.6459563034605,3240.7749065431626,0.01857034474584411,0.0727455930723943,13.751228996802553,-528.5896,2.5132723,2.9585004,2.4577029,2.8246927,2.3492234,2.6101744,2.1929247,2.3270197,1.995905,1.9907277,1.7666838,1.619148
